name,location_description,entities_people,entities_events,id,vendor_id,vendor_entry_id,source,state,source_priority,source_lat_lon_priority,source_type,url,image,object_types,subjects,creators,city,county,description,text,year_dedicated,latitude,longitude,material,sponsors,cost,notes,year_dedicated_or_constructed,geo_type,county_geo_id,gender_represented,ethnicity_represented,object_groups,object_group_reason,monument_score,monument_types,themes,sources,is_duplicate,duplicate_of,has_duplicates,duplicates,year_constructed,dimensions,alternate_name,founder,honorees,street_address,status,captions,designations,use_types,year_removed,physical_dimensions,wikidata,wikipedia,year_listed,physical_condition,year_dedicated_or_constructed2
Christopher Columbus,Central Park | South end of Mall,Christopher Columbus,NA,nycpm_297,nycpm,297,NYC Parks Monuments,NY,999,5,Official,NA,NA,Standing Figure (over Life Size) On Pedestal,Sculpture | Explorer,"Napoleon Le Brun | Jeronimo Sunol | Federicao Masriera, Fundador, Barcelona",New York City,NA,NA,NA,1892,40.7698669,-73.9727541,"Bronze, Rockport Granite (polished)",New Yorkers Of The New York Genealogical Society | CPC,NA,NA,1892,Exact coordinates provided,36061,male,NA,Monument,"Object Types field contains ""figure""",10,Statue,NA,NYC Parks Monuments,1,nycpm_297_merged,0,NA,1892,"Figure H: 7""; Pedestal H: 8' W: 8' D: 8'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892
Christopher Columbus,"In front of New York State Supreme Court Building, at Montague and Court Streets | Columbus Park",Christopher Columbus,NA,nycpm_298,nycpm,298,NYC Parks Monuments,NY,999,5,Official,NA,NA,"Standing Figure On Base, On Plinth",Sculpture | Explorer,Emma Stebbins | Aymar Embury II,New York City,NA,NA,NA,1867,40.69391459,-73.98991829,"Italian Marble, Limestone",Marshal O. Roberts,NA,NA,1867,Exact coordinates provided,36047,male,NA,Monument,"Object Types field contains ""figure""",10,Statue,NA,NYC Parks Monuments,1,osm_6575759972_merged,0,NA,1867,"Figure H: 7'; Pedestal H: 11' Diameter: 3'6""; Base H: 2'6"" Diameter: 8'9""; Plinth H: 1' Diameter: 17'3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1867
Christopher Columbus,"Columbus Square | Astoria Boulevard, Hoyt Avenue and 31st Street",Christopher Columbus,NA,nycpm_296,nycpm,296,NYC Parks Monuments,NY,999,5,Official,NA,NA,"Standing Figure (over Life Size) On Pedestal, On Plinth",Explorer,Angelo Racioppi,New York City,NA,NA,NA,NA,40.77003239,-73.9174547,Figure--bronze; Pedestal And Plinth--cast Stone,New York City Works Progress Administration Art Project,NA,NA,1941,Exact coordinates provided,36081,male,NA,Monument,"Object Types field contains ""figure""",10,Statue,NA,NYC Parks Monuments,NA,NA,NA,NA,1941,"Figure H: 7'6"" W: 4' D: 4'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941
Columbus Monument,Central Park | Columbus Circle,NA,NA,nycpm_299,nycpm,299,NYC Parks Monuments,NY,999,5,Official,NA,NA,"Standing Figue (colossal Scale) On Rostral Column On Pedestal, Base, And Plinth; Pedestal Figure Of A Winged Youth Examining A Globe; Two Bas-reliefs On Base",Sculpture | Explorer,"Nelli, Rome | Gaetano Russo",New York City,NA,NA,NA,1892,40.76806728,-73.98189988,Figures--Carrara Marble; Column--granite; Rostra And Bas-reliefs--bronze,"CPC | Italian Americans Led By Carlo Barsotti, Publisher, Il Progresso Italo Americano",NA,NA,1892,Exact coordinates provided,36061,NA,NA,Monument,"Object Types field contains ""figure""",10,Statue,NA,NYC Parks Monuments,1,npsnr_100003133_merged,0,NA,1892,Total: 76'; Figure H: 13'; Column H: 35'; Pedestal H: 28',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1892
Columbus,Marker can be reached from The Mall.,NA,NA,hmdb_108292,hmdb,108292,HMdb,NY,999,10,Crowdsourced,http://www.hmdb.org/m.asp?m=108292,https://www.hmdb.org/Photos3/398/Photo398618.jpg,NA,Exploration,NA,New York,New York County,NA,Columbus. . Presented by citizens of New York  In commemoration of the  four hundredth anniversary  of the  discovery of the New World  October 1492.,NA,40.76986,-73.97271,NA,Citizens Of New York,NA,NA,1892,Exact coordinates provided,36061,NA,NA,Monument,"Captions field contains ""statue""",10,Statue,NA,HMdb,1,nycpm_297_merged,0,NA,1892,NA,NA,NA,NA,NA,NA,1. Christopher Columbus Marker | 2. The Columbus Statue,NA,NA,NA,NA,NA,NA,NA,NA,1892
"Christopher Columbus Memorial, (sculpture)","Columbus Park, Civic Center, in front of New York State Supreme Court Building, Brooklyn, New York",Christopher Columbus,NA,sisos_siris_ari_7632,sisos,siris_ari_7632,Smithsonian SOS,NY,2,9999,Official,https://collections.si.edu/search/detail/edanmdm:siris_ari_7632,https://ids.si.edu/ids/deliveryService?id=SAAM-S76003474_1&max=150,Sculptures-Outdoor Sculpture | Sculptures,Portrait Male--Full Length | Occupation--Transportation--Navigator | Ethnic,"Stebbins, Emma 1815-1882",Brooklyn,NA,The figure of Columbus stands with his hand upon a ship's tiller. The base is a fluted column on a stepped octagonal base.,NA,NA,40.6775708,-73.9227576,Sculpture: Marble; Base: Limestone,NA,NA,"(Front of base:) CHRISTOPHER/COLVMBVS | The City of New York, Department of Parks, 1941. | Lederer, Joseph, ""All Around the Town: A Walking Guide to Outdoor Sculpture in New York City,"" New York: Charles Scribner's Sons, 1975, pg. 136. | Administered by City of New York Department of Parks and Recreation The Arsenal - Central Park New York New York 10021 | Lederer, Joseph, ""All Around the Town: A Walking Guide to Outdoor Sculpture in New York City,"" New York: Charles Scribner's Sons, 1975. | The information provided about this artwork was compiled as part of the Smithsonian American Art Museum's Inventories of American Painting and Sculpture database, designed to provide descriptive and location information on artworks by American artists in public and private collections worldwide. | Image on file. | Save Outdoor Sculpture, New York, New York survey, 1994. | Milroy, Elizabeth, compiler, ""Unpublished checklist of Emma Stebbins' Works,"" 1995. | Index of American Sculpture, University of Delaware, 1985.",1863,Geocoded based on street address provided,36047,male,NA,Monument,"Subjects field contains ""portrait""",10,Bust,NA,Smithsonian SOS,NA,NA,NA,NA,1863,NA,NA,NA,"Columbus, Christopher",Columbus Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1863
"Christopher Columbus, (sculpture)","Arthur Avenue, Bronx, New York",Christopher Columbus,NA,sisos_siris_ari_304056,sisos,siris_ari_304056,Smithsonian SOS,NY,2,1000,Official,https://collections.si.edu/search/detail/edanmdm:siris_ari_304056,NA,Sculptures-Outdoor Sculpture | Sculptures,Portrait Male--Bust | Ethnic | Occupation--Other--Explorer | Occupation--Transportation--Navigator,"Piccirilli, Attilio 1866-1945",Bronx,NA,NA,NA,NA,40.8488534,-73.8919116,Marble,NA,NA,"Bronx Times, July 15, 1999, pg. 7.",NA,Geocoded based on street address provided,36005,male,NA,Monument,"Subjects field contains ""portrait""",10,Bust,NA,Smithsonian SOS,1,sisos_siris_ari_304056_merged,0,NA,NA,NA,NA,NA,"Columbus, Christopher",Arthur Avenue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christopher Columbus,"D'Auria Murphy Triangle | East 183rd St, Crescent Ave,  Adams Place",Christopher Columbus,NA,nycpm_300,nycpm,300,NYC Parks Monuments,NY,999,5,Official,NA,NA,Bust On Plinth On Pedestal Supported By Two-part Base,Explorer,Attilio Piccirilli,New York City,NA,NA,NA,1926,40.85324819,-73.8893158,Bust And Plinth--Carrara Marble; Pedestal And Base--granite,NA,NA,NA,1926,Exact coordinates provided,36005,male,NA,Monument,"Object Types field contains ""bust""",10,Bust,NA,NYC Parks Monuments,1,sisos_siris_ari_304056_merged,0,NA,NA,"Bust And Plinth H: 4'3"" W: 4'4"" D: 2'3""; Pedestal H: 5'7"" W: 2'7"" D: 2'3""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1926
To Christopher Columbus,Marker is on Columbus Circle.,Christopher Columbus,NA,hmdb_6787,hmdb,6787,HMdb,NY,999,10,Crowdsourced,http://www.hmdb.org/m.asp?m=6787,https://www.hmdb.org/Photos/12/Photo12806.jpg,NA,Exploration | Waterways & Vessels,NA,New York,New York County,NA,"To Christopher Columbus. . The Italians resident in America,  scoffed at before,  during the voyage, menaced,  after it, chained,  as generous as oppressed,  to the world he gave a world.   Joy and Glory  Never utter a more thrilling call  Than that which resounded  From the conquered ocean  In sight of the first American island  Land! Land!    On the XII of October MDCCCXCII  The fourth centenary  Of the discovery of America  In imperishable remembrance.",NA,40.76808,-73.98189,NA,NA,NA,NA,1892,Exact coordinates provided,36061,male,NA,Monument,"Captions field contains ""monument""",10,Uncategorized,NA,HMdb,1,npsnr_100003133_merged,0,NA,1892,NA,NA,NA,NA,NA,NA,1. To Christopher Columbus Marker | 2. Columbus Monument | 3. Italian translation | 4. Another view of monument | 5. To Christopher Columbus Marker | 6. To Christopher Columbus | 7. Rear plaque of monument | 8. Front plaque on monument | 9. Dedication Plaque,NA,NA,NA,NA,NA,NA,NA,NA,1892
Columbus Monument,NA,NA,NA,npsnr_100003133,npsnr,100003133,NPS National Register,NY,1,1000,Official,NA,NA,Object,NA,NA,New York,New York,NA,NA,NA,40.76808045,-73.98189745,NA,NA,NA,NA,NA,Geocoded based on street address provided,36061,NA,NA,Monument,"Name field contains ""monument""",2,Uncategorized,NA,NPS National Register,1,npsnr_100003133_merged,0,NA,NA,NA,NA,NA,NA,Columbus Circle,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA,NA
